lambda_0,window_id,reported_cefi,reported_q_star,q1_feasible_cefi,absolute_witness_gap
0.5,4,-7.382751174511704e-06,29,0.011919682321193174,0.011927065072367685
0.5,5,-0.00010363806707389817,29,0.01930985132365025,0.019413489390724147
0.5,6,0.00016095807226590257,29,0.015992462594964195,0.01583150452269829
0.5,7,-8.856735381540005e-05,28,0.010192135739669973,0.010280703093485373
0.5,8,1.127267687283523e-05,29,0.019807321354493545,0.01979604867762071
0.5,9,-5.09909391967385e-06,28,0.014216833139289342,0.014221932233209016
0.5,10,5.2435369435742396e-05,29,0.010252586695968742,0.010200151326533
0.5,11,2.0971921002385305e-05,29,0.010898245797157813,0.010877273876155428
0.5,12,8.602747965044504e-05,28,0.008827082906825722,0.008741055427175277
0.5,13,4.619903523439897e-05,29,0.012540661006988014,0.012494461971753615
0.5,14,0.00013289732413914596,29,0.021012989635807718,0.020880092311668572
0.5,15,0.0024954884981536786,16,0.03034593606560382,0.027850447567450143
0.5,16,-7.351523578403782e-06,28,0.01077200895702474,0.010779360480603144
0.5,17,4.932739840198333e-05,29,0.009918643657012123,0.00986931625861014
1.0,0,0.00018343323566921092,22,0.0222924435695995,0.02210901033393029
1.0,1,-5.996385477240185e-05,28,0.018602662935225743,0.018662626789998145
1.0,2,9.782684025291637e-05,28,0.014228061224680092,0.014130234384427176
1.0,3,-3.9104924530450336e-05,29,0.007222953588359656,0.007262058512890106
1.0,4,-2.9439108898658348e-05,29,0.006915120786658087,0.006944559895556745
1.0,5,-4.2343379701593326e-05,29,0.0077929696420329835,0.007835313021734576
1.0,6,5.86477341894499e-05,29,0.006444420415422118,0.006385772681232668
1.0,7,-4.375692825484435e-05,29,0.004194224119885881,0.004237981048140725
1.0,8,1.2462174315610967e-05,29,0.007153223498223168,0.007140761323907557
1.0,9,9.086151216677364e-06,27,0.005310328535212013,0.005301242383995336
1.0,10,1.2889531343201945e-05,29,0.003489016469356502,0.0034761269380133002
1.0,11,1.6977448216652646e-05,29,0.0040553663901023405,0.004038388941885688
1.0,12,5.18790327236375e-05,28,0.0025441136506431762,0.0024922346179195387
1.0,13,2.3795446525120764e-05,29,0.004953077022044757,0.004929281575519636
1.0,14,6.954544362389355e-05,29,0.007851270697684615,0.007781725254060722
1.0,15,0.002075338351771894,4,0.017079667203235525,0.015004328851463631
1.0,16,3.052269649532046e-05,24,0.00413659671895239,0.0041060740224570695
1.0,17,4.236858804566e-05,26,0.004239707308633278,0.004197338720587618
2.0,0,0.0001444044705103168,22,0.008655829692922563,0.008511425222412246
2.0,1,6.077792716742631e-05,25,0.009668226181410174,0.009607448254242748
2.0,2,5.6848690615768534e-05,28,0.007058214544414139,0.00700136585379837
2.0,3,-2.0709386048641237e-05,29,0.0030728098391419917,0.003093519225190633
2.0,4,2.237798651976439e-05,26,0.003955672061032504,0.00393329407451274
2.0,5,-1.818933168214361e-05,29,0.0025713062855309944,0.002589495617213138
2.0,6,1.9678563143774638e-05,29,0.002109286197575955,0.0020896076344321802
2.0,7,-1.0279871617450281e-05,29,0.001546518203872793,0.0015567980754902433
2.0,8,8.735920029405257e-06,29,0.0022126495934835805,0.0022039136734541753
2.0,9,1.7893257361623494e-05,27,0.0017286484406113208,0.0017107551832496973
2.0,10,1.1366528346667699e-05,27,0.0012515679070320474,0.0012402013786853797
2.0,11,9.18460659502028e-06,29,0.0013656137110721407,0.0013564291044771205
2.0,12,2.6737904574845135e-05,27,0.0007072270043578873,0.0006804890997830421
2.0,13,1.1559118951940273e-05,29,0.001668298821197567,0.0016567397022456266
2.0,14,2.938606698669891e-05,29,0.002395522415901515,0.002366136348914816
2.0,15,0.0016825199050998071,4,0.007996931234609969,0.006314411329510162
2.0,16,1.9592162745496466e-05,24,0.001335167699363815,0.0013155755366183186
2.0,17,3.902174119744281e-05,23,0.0017354836934668624,0.0016964619522694196
3.0,0,0.00031617660820965434,5,0.004647109309651635,0.004330932701441981
3.0,1,0.00023729130650001692,10,0.0059349504770389435,0.005697659170538927
3.0,2,0.00011677214299794488,12,0.004368579309639327,0.004251807166641383
3.0,3,6.451608213448403e-05,6,0.0016926017782423605,0.0016280856961078765
3.0,4,2.9344094536644947e-05,26,0.002555262903889647,0.0025259188093530024
3.0,5,-6.197939467357744e-06,28,0.0018002904273306975,0.0018064883667980552
3.0,6,1.3755539374926727e-05,28,0.0010049461719290776,0.0009911906325541509
3.0,7,-3.20565120559297e-06,29,0.0007951389241386646,0.0007983445753442576
3.0,8,5.810581573988593e-06,29,0.0010223047959511788,0.0010164942143771902
3.0,9,7.820368431641354e-05,8,0.0008197446350358461,0.0007415409507194326
3.0,10,1.3464690897725022e-05,25,0.000638679681621864,0.0006252149907241389
3.0,11,5.8816545587846766e-06,29,0.0006457187544362716,0.0006398370998774869
3.0,12,1.8363600820184376e-05,27,0.0004425975923441072,0.00042423399152392285
